 Ödül: -4799.10, Son 100 Bölüm Ort. Ödül: -11093.54
Adım: 309709, Bölüm Bitti, Ödül: -2888.41, Son 100 Bölüm Ort. Ödül: -11075.21
Adım: 313543, Bölüm Bitti, Ödül: -11968.06, Son 100 Bölüm Ort. Ödül: -9731.53
Adım: 313557, Bölüm Bitti, Ödül: -2813.27, Son 100 Bölüm Ort. Ödül: -9731.94
Adım: 313642, Bölüm Bitti, Ödül: -19654.74, Son 100 Bölüm Ort. Ödül: -9890.03
Adım: 314642, Bölüm Bitti, Ödül: -220586.79, Son 100 Bölüm Ort. Ödül: -12051.75
Adım: 314676, Bölüm Bitti, Ödül: -7403.28, Son 100 Bölüm Ort. Ödül: -12091.98
Adım: 314709, Bölüm Bitti, Ödül: -6725.83, Son 100 Bölüm Ort. Ödül: -12114.31
Adım: 314734, Bölüm Bitti, Ödül: -5156.55, Son 100 Bölüm Ort. Ödül: -12000.37
Adım: 314769, Bölüm Bitti, Ödül: -7290.28, Son 100 Bölüm Ort. Ödül: -12028.84
Adım: 314779, Bölüm Bitti, Ödül: -2192.67, Son 100 Bölüm Ort. Ödül: -12020.92
Adım: 314791, Bölüm Bitti, Ödül: -3138.40, Son 100 Bölüm Ort. Ödül: -11961.02
Adım: 314808, Bölüm Bitti, Ödül: -3357.45, Son 100 Bölüm Ort. Ödül: -11921.55
Adım: 314839, Bölüm Bitti, Ödül: -6775.82, Son 100 Bölüm Ort. Ödül: -11907.98
Adım: 314862, Bölüm Bitti, Ödül: -4969.97, Son 100 Bölüm Ort. Ödül: -11896.11
Adım: 314903, Bölüm Bitti, Ödül: -8259.33, Son 100 Bölüm Ort. Ödül: -11961.53
Adım: 314920, Bölüm Bitti, Ödül: -3959.66, Son 100 Bölüm Ort. Ödül: -11941.36
Adım: 314964, Bölüm Bitti, Ödül: -9472.75, Son 100 Bölüm Ort. Ödül: -11982.27
Adım: 315349, Bölüm Bitti, Ödül: -79792.75, Son 100 Bölüm Ort. Ödül: -12699.85
Adım: 315385, Bölüm Bitti, Ödül: -7552.39, Son 100 Bölüm Ort. Ödül: -12746.62
Adım: 315431, Bölüm Bitti, Ödül: -11327.04, Son 100 Bölüm Ort. Ödül: -12831.48
Adım: 316431, Bölüm Bitti, Ödül: -220560.05, Son 100 Bölüm Ort. Ödül: -15008.88
Adım: 316468, Bölüm Bitti, Ödül: -7241.02, Son 100 Bölüm Ort. Ödül: -15049.51
Adım: 316478, Bölüm Bitti, Ödül: -1833.52, Son 100 Bölüm Ort. Ödül: -15030.95
Adım: 316511, Bölüm Bitti, Ödül: -6622.73, Son 100 Bölüm Ort. Ödül: -15069.45
Adım: 316528, Bölüm Bitti, Ödül: -3418.65, Son 100 Bölüm Ort. Ödül: -15070.59
Adım: 316561, Bölüm Bitti, Ödül: -7834.10, Son 100 Bölüm Ort. Ödül: -15127.73
Adım: 316637, Bölüm Bitti, Ödül: -17721.45, Son 100 Bölüm Ort. Ödül: -15279.61
Adım: 316674, Bölüm Bitti, Ödül: -7699.01, Son 100 Bölüm Ort. Ödül: -15273.77
Adım: 316719, Bölüm Bitti, Ödül: -10647.85, Son 100 Bölüm Ort. Ödül: -15329.41
Adım: 316737, Bölüm Bitti, Ödül: -4314.68, Son 100 Bölüm Ort. Ödül: -15324.57
Adım: 316749, Bölüm Bitti, Ödül: -2020.98, Son 100 Bölüm Ort. Ödül: -15315.89
Adım: 316816, Bölüm Bitti, Ödül: -14087.86, Son 100 Bölüm Ort. Ödül: -15393.14
Adım: 316851, Bölüm Bitti, Ödül: -7856.34, Son 100 Bölüm Ort. Ödül: -15301.16
Adım: 316862, Bölüm Bitti, Ödül: -1985.70, Son 100 Bölüm Ort. Ödül: -15219.60
Adım: 316910, Bölüm Bitti, Ödül: -10679.30, Son 100 Bölüm Ort. Ödül: -15288.85
Adım: 316922, Bölüm Bitti, Ödül: -2519.56, Son 100 Bölüm Ort. Ödül: -15255.00
Adım: 317430, Bölüm Bitti, Ödül: -113963.68, Son 100 Bölüm Ort. Ödül: -16375.92
Adım: 317449, Bölüm Bitti, Ödül: -4217.65, Son 100 Bölüm Ort. Ödül: -16395.56
Adım: 317486, Bölüm Bitti, Ödül: -7666.45, Son 100 Bölüm Ort. Ödül: -16381.17
Adım: 317499, Bölüm Bitti, Ödül: -2335.52, Son 100 Bölüm Ort. Ödül: -16378.43
Adım: 317544, Bölüm Bitti, Ödül: -10274.38, Son 100 Bölüm Ort. Ödül: -16437.04
Adım: 317590, Bölüm Bitti, Ödül: -11473.04, Son 100 Bölüm Ort. Ödül: -16503.51
Adım: 317617, Bölüm Bitti, Ödül: -4808.48, Son 100 Bölüm Ort. Ödül: -16477.77
Adım: 317637, Bölüm Bitti, Ödül: -5234.02, Son 100 Bölüm Ort. Ödül: -16486.65
Adım: 317647, Bölüm Bitti, Ödül: -2006.06, Son 100 Bölüm Ort. Ödül: -16447.49
Adım: 317671, Bölüm Bitti, Ödül: -4744.88, Son 100 Bölüm Ort. Ödül: -16406.23
Adım: 317690, Bölüm Bitti, Ödül: -3997.62, Son 100 Bölüm Ort. Ödül: -16433.04
Adım: 318690, Bölüm Bitti, Ödül: -218128.41, Son 100 Bölüm Ort. Ödül: -18542.14
Adım: 318761, Bölüm Bitti, Ödül: -17113.47, Son 100 Bölüm Ort. Ödül: -18695.57
Adım: 318779, Bölüm Bitti, Ödül: -4078.28, Son 100 Bölüm Ort. Ödül: -18589.88
Adım: 318824, Bölüm Bitti, Ödül: -8915.65, Son 100 Bölüm Ort. Ödül: -18561.16
Adım: 318946, Bölüm Bitti, Ödül: -25129.44, Son 100 Bölüm Ort. Ödül: -18762.87
Adım: 318968, Bölüm Bitti, Ödül: -4588.39, Son 100 Bölüm Ort. Ödül: -18762.10
Adım: 319013, Bölüm Bitti, Ödül: -10099.82, Son 100 Bölüm Ort. Ödül: -18752.13
Adım: 319043, Bölüm Bitti, Ödül: -6520.81, Son 100 Bölüm Ort. Ödül: -18758.95
Adım: 319083, Bölüm Bitti, Ödül: -8642.84, Son 100 Bölüm Ort. Ödül: -18723.93
Adım: 319101, Bölüm Bitti, Ödül: -4449.32, Son 100 Bölüm Ort. Ödül: -18709.97
Adım: 319125, Bölüm Bitti, Ödül: -5855.17, Son 100 Bölüm Ort. Ödül: -18747.54
Adım: 319152, Bölüm Bitti, Ödül: -5119.11, Son 100 Bölüm Ort. Ödül: -18617.34
Adım: 319167, Bölüm Bitti, Ödül: -3414.41, Son 100 Bölüm Ort. Ödül: -18432.92
Adım: 319192, Bölüm Bitti, Ödül: -6766.04, Son 100 Bölüm Ort. Ödül: -18360.41
Adım: 319208, Bölüm Bitti, Ödül: -3300.14, Son 100 Bölüm Ort. Ödül: -18358.68
Adım: 319230, Bölüm Bitti, Ödül: -4658.20, Son 100 Bölüm Ort. Ödül: -18346.02
Adım: 319244, Bölüm Bitti, Ödül: -2842.71, Son 100 Bölüm Ort. Ödül: -18335.72
Adım: 319257, Bölüm Bitti, Ödül: -2943.10, Son 100 Bölüm Ort. Ödül: -18293.60
Adım: 319283, Bölüm Bitti, Ödül: -6161.14, Son 100 Bölüm Ort. Ödül: -18326.59
Adım: 319293, Bölüm Bitti, Ödül: -2000.67, Son 100 Bölüm Ort. Ödül: -18208.39
Adım: 319309, Bölüm Bitti, Ödül: -3421.20, Son 100 Bölüm Ort. Ödül: -18213.17
Adım: 319317, Bölüm Bitti, Ödül: -1360.41, Son 100 Bölüm Ort. Ödül: -16815.51
Adım: 319339, Bölüm Bitti, Ödül: -4106.46, Son 100 Bölüm Ort. Ödül: -16830.69
Adım: 319367, Bölüm Bitti, Ödül: -6590.77, Son 100 Bölüm Ort. Ödül: -16869.55
Adım: 319381, Bölüm Bitti, Ödül: -3240.53, Son 100 Bölüm Ort. Ödül: -16798.88
Adım: 319409, Bölüm Bitti, Ödül: -6547.62, Son 100 Bölüm Ort. Ödül: -16820.27
Adım: 319419, Bölüm Bitti, Ödül: -2170.60, Son 100 Bölüm Ort. Ödül: -16706.52
Adım: 319484, Bölüm Bitti, Ödül: -15829.68, Son 100 Bölüm Ort. Ödül: -16727.99
Adım: 319513, Bölüm Bitti, Ödül: -6263.65, Son 100 Bölüm Ort. Ödül: -16667.54
Adım: 319551, Bölüm Bitti, Ödül: -7664.40, Son 100 Bölüm Ort. Ödül: -16641.99
Adım: 319569, Bölüm Bitti, Ödül: -3133.61, Son 100 Bölüm Ort. Ödül: -16637.55
Adım: 319586, Bölüm Bitti, Ödül: -3788.93, Son 100 Bölüm Ort. Ödül: -16637.54
Adım: 319606, Bölüm Bitti, Ödül: -4739.95, Son 100 Bölüm Ort. Ödül: -16647.41
Adım: 319619, Bölüm Bitti, Ödül: -2110.25, Son 100 Bölüm Ort. Ödül: -16641.51
Adım: 319640, Bölüm Bitti, Ödül: -3748.64, Son 100 Bölüm Ort. Ödül: -16644.87
Adım: 319648, Bölüm Bitti, Ödül: -1501.12, Son 100 Bölüm Ort. Ödül: -16612.87
Adım: 319675, Bölüm Bitti, Ödül: -5904.16, Son 100 Bölüm Ort. Ödül: -16580.54
Adım: 319729, Bölüm Bitti, Ödül: -11129.04, Son 100 Bölüm Ort. Ödül: -16666.29
Adım: 319768, Bölüm Bitti, Ödül: -8234.60, Son 100 Bölüm Ort. Ödül: -16650.84
Adım: 319779, Bölüm Bitti, Ödül: -2677.59, Son 100 Bölüm Ort. Ödül: -16540.14
Adım: 319791, Bölüm Bitti, Ödül: -2141.74, Son 100 Bölüm Ort. Ödül: -16524.04
Adım: 319806, Bölüm Bitti, Ödül: -2910.18, Son 100 Bölüm Ort. Ödül: -16461.00
Adım: 319829, Bölüm Bitti, Ödül: -5156.34, Son 100 Bölüm Ort. Ödül: -16480.13
Adım: 319875, Bölüm Bitti, Ödül: -9161.68, Son 100 Bölüm Ort. Ödül: -16494.84
Adım: 319889, Bölüm Bitti, Ödül: -3623.21, Son 100 Bölüm Ort. Ödül: -16478.44
Adım: 319916, Bölüm Bitti, Ödül: -5202.86, Son 100 Bölüm Ort. Ödül: -16495.24
Adım: 319943, Bölüm Bitti, Ödül: -6115.59, Son 100 Bölüm Ort. Ödül: -16520.74
Adım: 319955, Bölüm Bitti, Ödül: -2620.14, Son 100 Bölüm Ort. Ödül: -16528.76
Adım: 319999, Bölüm Bitti, Ödül: -8650.67, Son 100 Bölüm Ort. Ödül: -16541.09
Adım: 320028, Bölüm Bitti, Ödül: -6733.44, Son 100 Bölüm Ort. Ödül: -14465.56
Adım: 320081, Bölüm Bitti, Ödül: -10994.68, Son 100 Bölüm Ort. Ödül: -14543.37
Adım: 320123, Bölüm Bitti, Ödül: -9674.54, Son 100 Bölüm Ort. Ödül: -14567.92
Adım: 320133, Bölüm Bitti, Ödül: -1698.05, Son 100 Bölüm Ort. Ödül: -14558.35
Adım: 320153, Bölüm Bitti, Ödül: -3199.97, Son 100 Bölüm Ort. Ödül: -14529.35
Adım: 320196, Bölüm Bitti, Ödül: -9544.18, Son 100 Bölüm Ort. Ödül: -14505.11
Adım: 320208, Bölüm Bitti, Ödül: -2753.87, Son 100 Bölüm Ort. Ödül: -14504.52
Adım: 320231, Bölüm Bitti, Ödül: -5009.40, Son 100 Bölüm Ort. Ödül: -14358.06
Adım: 320239, Bölüm Bitti, Ödül: -2083.66, Son 100 Bölüm Ort. Ödül: -12173.03
Adım: 320309, Bölüm Bitti, Ödül: -14728.03, Son 100 Bölüm Ort. Ödül: -12246.28
Adım: 320336, Bölüm Bitti, Ödül: -5595.52, Son 100 Bölüm Ort. Ödül: -12234.98
Adım: 320348, Bölüm Bitti, Ödül: -2491.45, Son 100 Bölüm Ort. Ödül: -12208.33
Adım: 320360, Bölüm Bitti, Ödül: -3283.13, Son 100 Bölüm Ort. Ödül: -12168.26
Adım: 320372, Bölüm Bitti, Ödül: -2448.34, Son 100 Bölüm Ort. Ödül: -12170.81
Adım: 320390, Bölüm Bitti, Ödül: -4417.10, Son 100 Bölüm Ort. Ödül: -12183.60
Adım: 320442, Bölüm Bitti, Ödül: -10667.64, Son 100 Bölüm Ort. Ödül: -12256.70
Adım: 320457, Bölüm Bitti, Ödül: -3958.32, Son 100 Bölüm Ort. Ödül: -12228.53
Adım: 320470, Bölüm Bitti, Ödül: -2949.87, Son 100 Bölüm Ort. Ödül: -12208.32
Adım: 320481, Bölüm Bitti, Ödül: -1914.31, Son 100 Bölüm Ort. Ödül: -12144.87
Adım: 320536, Bölüm Bitti, Ödül: -12936.95, Son 100 Bölüm Ort. Ödül: -12234.65
Adım: 320549, Bölüm Bitti, Ödül: -2246.67, Son 100 Bölüm Ort. Ödül: -12162.39
Adım: 320570, Bölüm Bitti, Ödül: -4877.73, Son 100 Bölüm Ort. Ödül: -11413.24
Adım: 320601, Bölüm Bitti, Ödül: -4886.24, Son 100 Bölüm Ort. Ödül: -11386.57
Adım: 320713, Bölüm Bitti, Ödül: -26307.26, Son 100 Bölüm Ort. Ödül: -11536.38
Adım: 320725, Bölüm Bitti, Ödül: -2473.32, Son 100 Bölüm Ort. Ödül: -9355.51
Adım: 320753, Bölüm Bitti, Ödül: -6064.44, Son 100 Bölüm Ort. Ödül: -9343.74
Adım: 320774, Bölüm Bitti, Ödül: -5204.98, Son 100 Bölüm Ort. Ödül: -9377.46
Adım: 320811, Bölüm Bitti, Ödül: -8321.79, Son 100 Bölüm Ort. Ödül: -9394.45
Adım: 320825, Bölüm Bitti, Ödül: -3227.70, Son 100 Bölüm Ort. Ödül: -9392.54
Adım: 320865, Bölüm Bitti, Ödül: -7580.81, Son 100 Bölüm Ort. Ödül: -9390.01
Adım: 320876, Bölüm Bitti, Ödül: -2135.35, Son 100 Bölüm Ort. Ödül: -9234.15
Adım: 320930, Bölüm Bitti, Ödül: -11899.50, Son 100 Bölüm Ort. Ödül: -9276.15
Adım: 320982, Bölüm Bitti, Ödül: -10706.67, Son 100 Bölüm Ort. Ödül: -9276.74
Adım: 321008, Bölüm Bitti, Ödül: -5574.56, Son 100 Bölüm Ort. Ödül: -9289.34
Adım: 321018, Bölüm Bitti, Ödül: -1824.37, Son 100 Bölüm Ort. Ödül: -9287.37
Adım: 321028, Bölüm Bitti, Ödül: -1712.87, Son 100 Bölüm Ort. Ödül: -9163.62
Adım: 321041, Bölüm Bitti, Ödül: -2339.22, Son 100 Bölüm Ort. Ödül: -9108.45
Adım: 321055, Bölüm Bitti, Ödül: -3576.73, Son 100 Bölüm Ort. Ödül: -9124.36
Adım: 321066, Bölüm Bitti, Ödül: -2412.58, Son 100 Bölüm Ort. Ödül: -9041.69
Adım: 321080, Bölüm Bitti, Ödül: -3150.29, Son 100 Bölüm Ort. Ödül: -9048.00
Adım: 321098, Bölüm Bitti, Ödül: -4151.21, Son 100 Bölüm Ort. Ödül: -7949.88
Adım: 321129, Bölüm Bitti, Ödül: -6889.37, Son 100 Bölüm Ort. Ödül: -7976.59
Adım: 321167, Bölüm Bitti, Ödül: -7643.54, Son 100 Bölüm Ort. Ödül: -7976.36
Adım: 321180, Bölüm Bitti, Ödül: -2419.99, Son 100 Bölüm Ort. Ödül: -7977.21
Adım: 321199, Bölüm Bitti, Ödül: -4298.30, Son 100 Bölüm Ort. Ödül: -7917.45
Adım: 321213, Bölüm Bitti, Ödül: -3848.80, Son 100 Bölüm Ort. Ödül: -7841.21
Adım: 321226, Bölüm Bitti, Ödül: -2594.54, Son 100 Bölüm Ort. Ödül: -7819.07
Adım: 321261, Bölüm Bitti, Ödül: -8067.38, Son 100 Bölüm Ort. Ödül: -7847.40
Adım: 321276, Bölüm Bitti, Ödül: -3413.94, Son 100 Bölüm Ort. Ödül: -7861.48
Adım: 321304, Bölüm Bitti, Ödül: -5829.42, Son 100 Bölüm Ort. Ödül: -7872.32
Adım: 321317, Bölüm Bitti, Ödül: -2273.75, Son 100 Bölüm Ort. Ödül: -7855.09
Adım: 321350, Bölüm Bitti, Ödül: -7654.59, Son 100 Bölüm Ort. Ödül: -5750.35
Adım: 321435, Bölüm Bitti, Ödül: -17095.29, Son 100 Bölüm Ort. Ödül: -5750.17
Adım: 321474, Bölüm Bitti, Ödül: -9332.00, Son 100 Bölüm Ort. Ödül: -5802.70
Adım: 321495, Bölüm Bitti, Ödül: -3873.69, Son 100 Bölüm Ort. Ödül: -5752.28
Adım: 321526, Bölüm Bitti, Ödül: -6771.73, Son 100 Bölüm Ort. Ödül: -5568.71
Adım: 321539, Bölüm Bitti, Ödül: -2807.44, Son 100 Bölüm Ort. Ödül: -5550.90
Adım: 321565, Bölüm Bitti, Ödül: -6852.04, Son 100 Bölüm Ort. Ödül: -5518.42
Adım: 321575, Bölüm Bitti, Ödül: -2438.22, Son 100 Bölüm Ort. Ödül: -5477.59
Adım: 321593, Bölüm Bitti, Ödül: -3764.13, Son 100 Bölüm Ort. Ödül: -5428.81
Adım: 321621, Bölüm Bitti, Ödül: -6454.38, Son 100 Bölüm Ort. Ödül: -5448.86
Adım: 321657, Bölüm Bitti, Ödül: -7795.07, Son 100 Bölüm Ort. Ödül: -5468.26
Adım: 321686, Bölüm Bitti, Ödül: -5651.13, Son 100 Bölüm Ort. Ödül: -5473.58
Adım: 321703, Bölüm Bitti, Ödül: -4028.92, Son 100 Bölüm Ort. Ödül: -5479.72
Adım: 321736, Bölüm Bitti, Ödül: -7293.63, Son 100 Bölüm Ort. Ödül: -5485.00
Adım: 321760, Bölüm Bitti, Ödül: -5375.11, Son 100 Bölüm Ort. Ödül: -5505.75
Adım: 321795, Bölüm Bitti, Ödül: -8245.10, Son 100 Bölüm Ort. Ödül: -5541.62
Adım: 321817, Bölüm Bitti, Ödül: -5790.33, Son 100 Bölüm Ort. Ödül: -5571.09
Adım: 321866, Bölüm Bitti, Ödül: -10268.97, Son 100 Bölüm Ort. Ödül: -5644.35
Adım: 321891, Bölüm Bitti, Ödül: -5392.73, Son 100 Bölüm Ort. Ödül: -5636.67
Adım: 321958, Bölüm Bitti, Ödül: -16564.22, Son 100 Bölüm Ort. Ödül: -5782.30
Adım: 322023, Bölüm Bitti, Ödül: -13403.78, Son 100 Bölüm Ort. Ödül: -5882.13
Adım: 322051, Bölüm Bitti, Ödül: -5619.93, Son 100 Bölüm Ort. Ödül: -5924.72
Adım: 322060, Bölüm Bitti, Ödül: -2168.79, Son 100 Bölüm Ort. Ödül: -5905.35
Adım: 322139, Bölüm Bitti, Ödül: -19259.68, Son 100 Bölüm Ort. Ödül: -6032.03
Adım: 322149, Bölüm Bitti, Ödül: -2370.55, Son 100 Bölüm Ort. Ödül: -6023.33
Adım: 322171, Bölüm Bitti, Ödül: -4269.68, Son 100 Bölüm Ort. Ödül: -6000.56
Adım: 322181, Bölüm Bitti, Ödül: -1917.37, Son 100 Bölüm Ort. Ödül: -5998.02
Adım: 322222, Bölüm Bitti, Ödül: -7571.03, Son 100 Bölüm Ort. Ödül: -5915.44
Adım: 322282, Bölüm Bitti, Ödül: -14035.55, Son 100 Bölüm Ort. Ödül: -5993.16
Adım: 322334, Bölüm Bitti, Ödül: -12022.27, Son 100 Bölüm Ort. Ödül: -6036.73
Adım: 322347, Bölüm Bitti, Ödül: -2752.15, Son 100 Bölüm Ort. Ödül: -6032.92
Adım: 322382, Bölüm Bitti, Ödül: -6994.42, Son 100 Bölüm Ort. Ödül: -6064.97
Adım: 322392, Bölüm Bitti, Ödül: -2197.08, Son 100 Bölüm Ort. Ödül: -6039.55
Adım: 322402, Bölüm Bitti, Ödül: -2233.33, Son 100 Bölüm Ort. Ödül: -6040.78
Adım: 322413, Bölüm Bitti, Ödül: -2382.06, Son 100 Bölüm Ort. Ödül: -6027.11
Adım: 322451, Bölüm Bitti, Ödül: -8588.31, Son 100 Bölüm Ort. Ödül: -6097.98
Adım: 322489, Bölüm Bitti, Ödül: -9180.10, Son 100 Bölüm Ort. Ödül: -6130.74
Adım: 322510, Bölüm Bitti, Ödül: -4331.04, Son 100 Bölüm Ort. Ödül: -6062.76
Adım: 322519, Bölüm Bitti, Ödül: -1985.89, Son 100 Bölüm Ort. Ödül: -6000.28
